filename,category,category_id,split
CNT-Matrix-0074.tif,Matrix,2,train
CNT-Matrix-0426.tif,Matrix,2,train
CNT-Matrix-0299.tif,Matrix,2,train
CNT-Cluster-0377.tif,Cluster,1,train
CNT-MatrixSurface-0215.tif,MatrixSurface,3,train
CNT-Cluster-0206.tif,Cluster,1,train
CNT-Cluster-0245.tif,Cluster,1,train
CNT-MatrixSurface-0380.tif,MatrixSurface,3,train
CNT-Fiber-0317.tif,Fiber,0,train
CNT-Cluster-0282.tif,Cluster,1,train
CNT-MatrixSurface-0305.tif,MatrixSurface,3,train
CNT-MatrixSurface-0069.tif,MatrixSurface,3,train
CNT-Cluster-0077.tif,Cluster,1,train
CNT-Fiber-0326.tif,Fiber,0,train
CNT-Fiber-0350.tif,Fiber,0,train
CNT-MatrixSurface-0021.tif,MatrixSurface,3,train
CNT-MatrixSurface-0148.tif,MatrixSurface,3,train
CNT-Cluster-0187.tif,Cluster,1,train
CNT-Cluster-0058.tif,Cluster,1,train
CNT-Matrix-0195.tif,Matrix,2,train
CNT-Fiber-0258.tif,Fiber,0,train
CNT-Matrix-0432.tif,Matrix,2,train
CNT-Cluster-0134.tif,Cluster,1,train
CNT-Cluster-0398.tif,Cluster,1,train
CNT-Matrix-0182.tif,Matrix,2,train
CNT-Fiber-0169.tif,Fiber,0,train
CNT-Matrix-0267.tif,Matrix,2,train
CNT-Cluster-0439.tif,Cluster,1,train
CNT-MatrixSurface-0099.tif,MatrixSurface,3,train
CNT-Matrix-0221.tif,Matrix,2,train
CNT-Matrix-0392.tif,Matrix,2,train
CNT-Fiber-0233.tif,Fiber,0,train
CNT-Cluster-0256.tif,Cluster,1,train
CNT-Fiber-0318.tif,Fiber,0,train
CNT-MatrixSurface-0452.tif,MatrixSurface,3,train
CNT-Matrix-0402.tif,Matrix,2,train
CNT-Fiber-0332.tif,Fiber,0,train
CNT-Fiber-0161.tif,Fiber,0,train
CNT-MatrixSurface-0104.tif,MatrixSurface,3,train
CNT-MatrixSurface-0139.tif,MatrixSurface,3,train
CNT-MatrixSurface-0302.tif,MatrixSurface,3,train
CNT-Fiber-0419.tif,Fiber,0,train
CNT-MatrixSurface-0210.tif,MatrixSurface,3,train
CNT-Matrix-0371.tif,Matrix,2,train
CNT-Fiber-0230.tif,Fiber,0,train
CNT-Fiber-0277.tif,Fiber,0,train
CNT-Matrix-0133.tif,Matrix,2,train
