filename,category,split,configs_correct,configs_total
CNT-Fiber-0014.tif,Fiber,test,118,118
CNT-Fiber-0023.tif,Fiber,test,118,118
CNT-Fiber-0059.tif,Fiber,test,118,118
CNT-Fiber-0062.tif,Fiber,test,118,118
CNT-Fiber-0118.tif,Fiber,test,118,118
CNT-Fiber-0119.tif,Fiber,test,118,118
CNT-Fiber-0144.tif,Fiber,test,118,118
CNT-Fiber-0211.tif,Fiber,test,118,118
CNT-Fiber-0212.tif,Fiber,test,118,118
CNT-Fiber-0231.tif,Fiber,test,118,118
CNT-Fiber-0281.tif,Fiber,test,118,118
CNT-Fiber-0288.tif,Fiber,test,118,118
CNT-Fiber-0292.tif,Fiber,test,118,118
CNT-Fiber-0300.tif,Fiber,test,118,118
CNT-Fiber-0333.tif,Fiber,test,118,118
CNT-Fiber-0336.tif,Fiber,test,118,118
CNT-Fiber-0338.tif,Fiber,test,118,118
CNT-Fiber-0343.tif,Fiber,test,118,118
CNT-Fiber-0349.tif,Fiber,test,118,118
CNT-Fiber-0358.tif,Fiber,test,118,118
CNT-Cluster-0004.tif,Cluster,test,118,118
CNT-Cluster-0010.tif,Cluster,test,118,118
CNT-Cluster-0012.tif,Cluster,test,118,118
CNT-Cluster-0051.tif,Cluster,test,118,118
CNT-Cluster-0052.tif,Cluster,test,118,118
CNT-Cluster-0055.tif,Cluster,test,118,118
CNT-Cluster-0078.tif,Cluster,test,118,118
CNT-Cluster-0085.tif,Cluster,test,118,118
CNT-Cluster-0115.tif,Cluster,test,118,118
CNT-Cluster-0138.tif,Cluster,test,118,118
CNT-Cluster-0261.tif,Cluster,test,118,118
CNT-Cluster-0268.tif,Cluster,test,118,118
CNT-Cluster-0284.tif,Cluster,test,118,118
CNT-Cluster-0306.tif,Cluster,test,118,118
CNT-Cluster-0316.tif,Cluster,test,118,118
CNT-Cluster-0388.tif,Cluster,test,118,118
CNT-Cluster-0446.tif,Cluster,test,118,118
CNT-Cluster-0729.tif,Cluster,test,118,118
CNT-Cluster-0234.tif,Cluster,test,117,118
CNT-Cluster-0262.tif,Cluster,test,117,118
CNT-Matrix-0013.tif,Matrix,test,118,118
CNT-Matrix-0027.tif,Matrix,test,118,118
CNT-Matrix-0035.tif,Matrix,test,118,118
CNT-Matrix-0045.tif,Matrix,test,118,118
CNT-Matrix-0047.tif,Matrix,test,118,118
CNT-Matrix-0075.tif,Matrix,test,118,118
CNT-Matrix-0096.tif,Matrix,test,118,118
CNT-Matrix-0101.tif,Matrix,test,118,118
CNT-Matrix-0117.tif,Matrix,test,118,118
CNT-Matrix-0118.tif,Matrix,test,118,118
CNT-Matrix-0132.tif,Matrix,test,118,118
CNT-Matrix-0143.tif,Matrix,test,118,118
CNT-Matrix-0230.tif,Matrix,test,118,118
CNT-Matrix-0255.tif,Matrix,test,118,118
CNT-Matrix-0259.tif,Matrix,test,118,118
CNT-Matrix-0276.tif,Matrix,test,118,118
CNT-Matrix-0285.tif,Matrix,test,118,118
CNT-Matrix-0323.tif,Matrix,test,118,118
CNT-Matrix-0338.tif,Matrix,test,118,118
CNT-Matrix-0363.tif,Matrix,test,118,118
